feature,importance
avg_distance,0.09635413956843773
avg_delivery_time,0.09509573985028226
avg_discount,0.07610039797326817
delay_rate,0.0726040337023921
avg_review_rating,0.07251018615883856
pos_pct,0.07238823117201526
total_revenue,0.07052633382649223
avg_cost_for_two,0.06159176835865203
cuisine_enc,0.05842326692692112
total_reviews,0.05405847758749173
avg_order_value,0.05262975507545531
total_orders,0.05105486713932504
opening_year,0.050394783577122855
rest_type_enc,0.042577292359076924
city_enc,0.03399746227742361
neg_reviews,0.022238045118026677
table_booking,0.008011245951473156
online_delivery,0.007887202828201734
price_range,0.0015567705491035307
